,index,play_id,game_id,home_team,away_team,posteam,yardline_100,game_date,game_seconds_remaining,drive,goal_to_go,ydstogo,play_type,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam_score,defteam_score,spread,total,pos_EP_total,def_EP_total,pos_EP_pace,def_EP_pace,pos_fave,ends_TD,ends_FG,ends_punt,ends_other,pos_pp_cume_yds,pos_play_count,pos_yds_play,down_is_1.0,down_is_2.0,down_is_3.0,down_is_4.0,target_cat,target_num,is_EOH,pos_home,prediction,prob0,prob1,prob2,prob3,down,desc,end_of_poss
37312,444998,54,2018120903,GB,ATL,ATL,75.0,2018-12-09,3600.0,1,0.0,10,run,3.0,3.0,0.0,0.0,4.0,50.5,23.25,27.25,0.0,0.0,0,1,0,0,0,0.0,2,0.0,1,0,0,0,TD,0,0,0,2.0,0.19547580188616526,0.1032503171332733,0.47012757274560235,0.23114630823495927,1.0,(15:00) T.Coleman right tackle to ATL 30 for 5 yards (D.Lowry; B.Martinez).,0
37313,444999,76,2018120903,GB,ATL,ATL,70.0,2018-12-09,3561.0,1,0.0,5,pass,3.0,2.0,0.0,0.0,4.0,50.5,23.25,27.25,-0.2518750000000006,-0.2952083333333341,0,1,0,0,0,5.0,3,1.6666666666666667,0,1,0,0,TD,0,0,0,2.0,0.2552523191031672,0.13696685029080896,0.4527067697860683,0.15507406081995556,2.0,"(14:21) (Shotgun) M.Ryan pass deep right to J.Jones to GB 42 for 28 yards (J.Alexander). Green Bay challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",0
37314,445000,141,2018120903,GB,ATL,ATL,42.0,2018-12-09,3536.0,1,0.0,10,no_play,3.0,2.0,0.0,0.0,4.0,50.5,23.25,27.25,-0.41333333333333344,-0.4844444444444446,0,1,0,0,0,33.0,4,8.25,1,0,0,0,TD,0,0,0,0.0,0.311059819883182,0.27612959602657877,0.13502638730043906,0.2777841967898002,1.0,"(13:56) B.Garland reported in as eligible.  PENALTY on ATL-T.Sambrailo, False Start, 5 yards, enforced at GB 42 - No Play.",0
37315,445001,166,2018120903,GB,ATL,ATL,47.0,2018-12-09,3536.0,1,0.0,15,pass,3.0,1.0,0.0,0.0,4.0,50.5,23.25,27.25,-0.41333333333333344,-0.4844444444444446,0,1,0,0,0,33.0,5,6.6,1,0,0,0,TD,0,0,0,0.0,0.3102725546596903,0.2635689323924828,0.1988468906867611,0.227311622261066,1.0,"(13:56) M.Ryan pass deep left to J.Jones pushed ob at GB 28 for 19 yards (J.Alexander). Green Bay challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #2.)",0
37316,445002,197,2018120903,GB,ATL,ATL,28.0,2018-12-09,3517.0,1,0.0,10,run,3.0,1.0,0.0,0.0,4.0,50.5,23.25,27.25,-0.5360416666666679,-0.6282638888888903,0,1,0,0,0,52.0,6,8.666666666666666,1,0,0,0,TD,0,0,0,0.0,0.3969572069061544,0.3418469228627124,0.02686333333333334,0.23433253689780006,1.0,(13:37) B.Garland reported in as eligible.  T.Coleman left end pushed ob at GB 23 for 5 yards (J.Jackson).,0
37317,445003,267,2018120903,GB,ATL,ATL,23.0,2018-12-09,3485.0,1,0.0,5,run,3.0,1.0,0.0,0.0,4.0,50.5,23.25,27.25,-0.7427083333333333,-0.8704861111111111,0,1,0,0,0,57.0,7,8.142857142857142,0,1,0,0,TD,0,0,0,0.0,0.419396057210763,0.32123550207961965,0.01578253968253968,0.2435859010270775,2.0,(13:05) M.Hall left end to GB 26 for -3 yards (K.Fackrell).,0
37318,445004,289,2018120903,GB,ATL,ATL,26.0,2018-12-09,3445.0,1,0.0,8,pass,3.0,1.0,0.0,0.0,4.0,50.5,23.25,27.25,-1.0010416666666655,-1.1732638888888878,0,1,0,0,0,54.0,8,6.75,0,0,1,0,TD,0,0,0,1.0,0.29529465623981754,0.3817284922962343,0.021609970674486806,0.30136688078946144,3.0,(12:25) (Shotgun) M.Ryan pass short middle to M.Sanu to GB 16 for 10 yards (B.Martinez).,0
37319,445005,314,2018120903,GB,ATL,ATL,16.0,2018-12-09,3403.0,1,0.0,10,pass,3.0,1.0,0.0,0.0,4.0,50.5,23.25,27.25,-1.2722916666666668,-1.4911805555555555,0,1,0,0,0,64.0,9,7.111111111111112,1,0,0,0,TD,0,0,0,0.0,0.6895658451216368,0.21821063501993135,0.006542553191489362,0.08568096666694223,1.0,"(11:43) (Shotgun) M.Ryan pass short right to J.Jones for 16 yards, TOUCHDOWN.",1
37320,445008,371,2018120903,GB,ATL,GB,75.0,2018-12-09,3396.0,2,0.0,10,pass,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-1.544166666666666,5.682500000000001,1,1,0,0,0,0.0,2,0.0,1,0,0,0,TD,0,0,1,2.0,0.22102428158656465,0.1195825084611161,0.448635476702817,0.21075773324950262,1.0,"(11:36) A.Rodgers pass short right to E.St. Brown to GB 33 for 8 yards (D.Trufant, V.Beasley).",0
37321,445009,396,2018120903,GB,ATL,GB,67.0,2018-12-09,3365.0,2,0.0,2,pass,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-1.7788194444444445,5.482291666666668,1,1,0,0,0,8.0,3,2.6666666666666665,0,1,0,0,TD,0,0,1,2.0,0.29335347985347987,0.214710989010989,0.4008201465201465,0.09111538461538461,2.0,(11:05) A.Rodgers pass short left to E.St. Brown to GB 37 for 4 yards (R.Alford).,0
37322,445010,421,2018120903,GB,ATL,GB,63.0,2018-12-09,3325.0,2,0.0,10,pass,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-2.081597222222221,5.223958333333334,1,1,0,0,0,12.0,4,3.0,1,0,0,0,TD,0,0,1,2.0,0.28365742372522545,0.14858268956705492,0.4266230642594421,0.1411368224482776,1.0,(10:25) (Shotgun) A.Rodgers pass short middle to R.Cobb to GB 45 for 8 yards (J.Richards).,0
37323,445011,446,2018120903,GB,ATL,GB,55.0,2018-12-09,3290.0,2,0.0,2,pass,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-2.3465277777777787,4.997916666666666,1,1,0,0,0,20.0,5,4.0,0,1,0,0,TD,0,0,1,0.0,0.4085605161158709,0.15562209302325583,0.31730770093839267,0.11850968992248062,2.0,(9:50) A.Rodgers pass incomplete short right.,0
37324,445012,468,2018120903,GB,ATL,GB,55.0,2018-12-09,3281.0,2,0.0,2,pass,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-2.4146527777777766,4.939791666666667,1,1,0,0,0,20.0,6,3.333333333333333,0,0,1,0,TD,0,0,1,2.0,0.3256929047078253,0.12261206048214943,0.43430362868303546,0.11739140612698991,3.0,(9:41) (Shotgun) A.Rodgers pass short right to D.Adams to ATL 34 for 21 yards (R.Alford).,0
37325,445013,493,2018120903,GB,ATL,GB,34.0,2018-12-09,3247.0,2,0.0,10,run,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-2.6720138888888894,4.720208333333334,1,1,0,0,0,41.0,7,5.857142857142858,1,0,0,0,TD,0,0,1,0.0,0.5341868472906406,0.2214915763546798,0.06635967159277502,0.17796190476190474,1.0,(9:07) J.Williams up the middle to ATL 25 for 9 yards (D.Jones).,0
37326,445014,515,2018120903,GB,ATL,GB,25.0,2018-12-09,3207.0,2,0.0,1,pass,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-2.9747916666666656,4.461875000000001,1,1,0,0,0,50.0,8,6.25,0,1,0,0,TD,0,0,1,0.0,0.5440055555555556,0.2679643467643468,0.043176923076923064,0.14485317460317457,2.0,(8:27) A.Rodgers pass short left to M.Valdes-Scantling pushed ob at ATL 11 for 14 yards (R.Alford).,0
37327,445015,546,2018120903,GB,ATL,GB,11.0,2018-12-09,3173.0,2,0.0,10,run,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-3.2321527777777783,4.242291666666667,1,1,0,0,0,64.0,9,7.111111111111112,1,0,0,0,TD,0,0,1,0.0,0.5937515151515151,0.23741228070175435,0.03666666666666667,0.1321695374800638,1.0,(7:53) J.Williams left end to ATL 13 for -2 yards (JA.Crawford).,0
37328,445016,568,2018120903,GB,ATL,GB,13.0,2018-12-09,3139.0,2,0.0,12,no_play,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-3.4895138888888897,4.022708333333332,1,1,0,0,0,62.0,10,6.2,0,1,0,0,TD,0,0,1,0.0,0.5402609318996416,0.2921351608964513,0.03121978021978022,0.13638412698412702,2.0,"(7:19) (Shotgun) A.Rodgers pass incomplete short middle to M.Valdes-Scantling. PENALTY on ATL-R.Alford, Defensive Pass Interference, 6 yards, enforced at ATL 13 - No Play.",0
37329,445017,601,2018120903,GB,ATL,GB,7.0,2018-12-09,3136.0,2,1.0,7,pass,1.0,3.0,0.0,7.0,4.0,50.5,27.25,23.25,-3.5122222222222237,4.003333333333332,1,1,0,0,0,62.0,11,5.636363636363638,1,0,0,0,TD,0,0,1,0.0,0.7297906640368176,0.18785246548323475,0.002,0.0803568704799474,1.0,"(7:16) (Shotgun) A.Rodgers pass short left to D.Adams for 7 yards, TOUCHDOWN.",1
37330,445020,666,2018120903,GB,ATL,ATL,73.0,2018-12-09,3125.0,3,0.0,10,pass,3.0,1.0,7.0,7.0,4.0,50.5,23.25,27.25,3.9322916666666674,3.4045138888888897,0,0,0,0,1,80.0,12,6.666666666666668,1,0,0,0,other,3,0,0,2.0,0.18792473084627637,0.12567939851137533,0.4382636417993353,0.24813222884301295,1.0,(7:05) M.Ryan pass short middle to J.Jones to ATL 33 for 6 yards (J.Alexander).,0
